id	nodes	label
1	<http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Luge>	TempateExpression{body=[?], head=[<http://swat.cse.lehigh.edu/resources/onto/olympics.owl#WinterSport>]},TempateExpression{body=[?], head=[<http://swat.cse.lehigh.edu/resources/onto/olympics.owl#WinterSport>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Luge>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Curling>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Biathlon>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Skeleton>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Bobsleigh>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Skiing>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Skating>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Ice_Hockey>]}
2	<http://swat.cse.lehigh.edu/resources/onto/olympics.owl#TrackAndField>	TempateExpression{body=[?], head=[<http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Athlete>]},TempateExpression{body=[?], head=[<http://swat.cse.lehigh.edu/resources/onto/olympics.owl#participatesIn>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Athletics>]},TempateExpression{body=[<http://swat.cse.lehigh.edu/resources/onto/olympics.owl#participatesIn>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Athletics>], head=[?]},TempateExpression{body=[?], head=[<http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Athlete>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#GoldMedalWinners>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#TrackAndField>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Swimmer>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Gymnast>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#BronzeMedalWinners>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#MedalWinners>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#SilverMedalWinners>]},TempateExpression{body=[?], head=[<http://swat.cse.lehigh.edu/resources/onto/olympics.owl#participatesIn>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Athletics>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#TripleJump>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Walk>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#HammerThrow>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Hurdles>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#ShotPut>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Race>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Marathon>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#LongJump>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Decathlon>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Steeplechase>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#PoleVault>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#DiscusThrow>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#HighJump>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#JavelinThrow>]},TempateExpression{body=[<http://swat.cse.lehigh.edu/resources/onto/olympics.owl#participatesIn>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Athletics>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#TripleJump>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Walk>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#HammerThrow>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Hurdles>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#ShotPut>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Race>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Marathon>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#LongJump>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Decathlon>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Steeplechase>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#PoleVault>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#DiscusThrow>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#HighJump>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#JavelinThrow>], head=[?]}
3	<http://swat.cse.lehigh.edu/resources/onto/olympics.owl#TripleJump>	TempateExpression{body=[?], head=[<http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Athletics>]},TempateExpression{body=[?], head=[<http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Athletics>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#TripleJump>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Walk>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#HammerThrow>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Hurdles>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#ShotPut>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Race>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Marathon>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#LongJump>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Decathlon>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Steeplechase>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#PoleVault>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#DiscusThrow>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#HighJump>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#JavelinThrow>]}
4	<http://swat.cse.lehigh.edu/resources/onto/olympics.owl#WinterGames>	TempateExpression{body=[?], head=[<http://swat.cse.lehigh.edu/resources/onto/olympics.owl#OlympicGames>]},TempateExpression{body=[?], head=[<http://swat.cse.lehigh.edu/resources/onto/olympics.owl#OlympicGames>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#SummerGames>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#WinterGames>]}
5	<http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Biathlon>	TempateExpression{body=[?], head=[<http://swat.cse.lehigh.edu/resources/onto/olympics.owl#WinterSport>]},TempateExpression{body=[?], head=[<http://swat.cse.lehigh.edu/resources/onto/olympics.owl#WinterSport>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Luge>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Curling>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Biathlon>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Skeleton>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Bobsleigh>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Skiing>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Skating>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Ice_Hockey>]}
6	<http://swat.cse.lehigh.edu/resources/onto/olympics.owl#SnowboardCross>	TempateExpression{body=[?], head=[<http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Snowboard>]},TempateExpression{body=[?], head=[<http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Snowboard>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#GiantParallelSlalom>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#SnowboardCross>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Half-pipe>]}
7	<http://swat.cse.lehigh.edu/resources/onto/olympics.owl#ShotPut>	TempateExpression{body=[?], head=[<http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Athletics>]},TempateExpression{body=[?], head=[<http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Athletics>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#TripleJump>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Walk>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#HammerThrow>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Hurdles>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#ShotPut>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Race>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Marathon>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#LongJump>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Decathlon>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Steeplechase>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#PoleVault>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#DiscusThrow>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#HighJump>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#JavelinThrow>]}
8	<http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Trap>	TempateExpression{body=[?], head=[<http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Shooting>]},TempateExpression{body=[?], head=[<http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Shooting>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Rifle>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Pistol>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#RapidFirePistol>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Trap>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#AirPistol>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#AirRifle>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Skeet>]}
9	<http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Speed_skating>	TempateExpression{body=[?], head=[<http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Skating>]},TempateExpression{body=[?], head=[<http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Skating>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Figure_skating>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Short_Track_Speed_Skating>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Speed_skating>]}
10	<http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Vault>	TempateExpression{body=[?], head=[<http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Artistic_Gymnastics>]},TempateExpression{body=[?], head=[<http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Artistic_Gymnastics>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#BalanceBeam>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Rings>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#PommelHorse>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#UnevenBars>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#HorizontalBar>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#Vault>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#ParallelBars>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#GymnasticsTeamCompetition>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#FloorExercise>, <http://swat.cse.lehigh.edu/resources/onto/olympics.owl#AllRound>]}
