id	nodes	label
1	<http://reliant.teknowledge.com/DAML/Transportation.owl#SpecializedTankerShip>	TempateExpression{body=[?], head=[<http://reliant.teknowledge.com/DAML/Transportation.owl#CargoShip>]},TempateExpression{body=[?], head=[<http://reliant.teknowledge.com/DAML/Transportation.owl#CargoShip>, <http://reliant.teknowledge.com/DAML/Transportation.owl#BargeCarrierShip>, <http://reliant.teknowledge.com/DAML/Transportation.owl#SpecializedTankerShip>, <http://reliant.teknowledge.com/DAML/Transportation.owl#LivestockCarrierShip>, <http://reliant.teknowledge.com/DAML/Transportation.owl#Freighter>, <http://reliant.teknowledge.com/DAML/Transportation.owl#OceanLiner>, <http://reliant.teknowledge.com/DAML/Transportation.owl#LiquefiedGasTankerShip>, <http://reliant.teknowledge.com/DAML/Transportation.owl#PartialContainerShip>, <http://reliant.teknowledge.com/DAML/Transportation.owl#GreatLakesShip>, <http://reliant.teknowledge.com/DAML/Transportation.owl#RefrigeratedCargoShip>, <http://reliant.teknowledge.com/DAML/Transportation.owl#RollOnRollOffCargoShip>, <http://reliant.teknowledge.com/DAML/Transportation.owl#ChemicalTankerShip>, <http://reliant.teknowledge.com/DAML/Transportation.owl#GeneralCargoShip>, <http://reliant.teknowledge.com/DAML/Transportation.owl#PetroleumTankerShip>, <http://reliant.teknowledge.com/DAML/Transportation.owl#PassengerAndCargoShip>, <http://reliant.teknowledge.com/DAML/Transportation.owl#ContainerShip>, <http://reliant.teknowledge.com/DAML/Transportation.owl#MultifunctionalLargeLoadCarrierShip>, <http://reliant.teknowledge.com/DAML/Transportation.owl#DryBulkCarrierShip>, <http://reliant.teknowledge.com/DAML/Transportation.owl#CombinationCarrierShip>]}
2	<http://reliant.teknowledge.com/DAML/Transportation.owl#RotaryDumpCar>	TempateExpression{body=[?], head=[<http://reliant.teknowledge.com/DAML/Transportation.owl#GondolaRailcar>]},TempateExpression{body=[?], head=[<http://reliant.teknowledge.com/DAML/Transportation.owl#GondolaRailcar>, <http://reliant.teknowledge.com/DAML/Transportation.owl#RotaryDumpCar>]}
3	<http://reliant.teknowledge.com/DAML/SUMO.owl#SelfConnectedObject>	TempateExpression{body=[<http://reliant.teknowledge.com/DAML/SUMO.owl#Transitway>], head=[?]},TempateExpression{body=[<http://reliant.teknowledge.com/DAML/SUMO.owl#Transitway>, <http://reliant.teknowledge.com/DAML/Mid-level-ontology.owl#Waterway>, <http://reliant.teknowledge.com/DAML/Transportation.owl#AirTransitway>, <http://reliant.teknowledge.com/DAML/Mid-level-ontology.owl#Pipeline>, <http://reliant.teknowledge.com/DAML/Transportation.owl#TransitRoute>, <http://reliant.teknowledge.com/DAML/Mid-level-ontology.owl#TransitwayJunction>, <http://reliant.teknowledge.com/DAML/Transportation.owl#SingleTrafficLane>, <http://reliant.teknowledge.com/DAML/Transportation.owl#OneWayTransitway>, <http://reliant.teknowledge.com/DAML/SUMO.owl#LandTransitway>, <http://reliant.teknowledge.com/DAML/Mid-level-ontology.owl#Tunnel>], head=[?, <http://reliant.teknowledge.com/DAML/SUMO.owl#Transitway>]}
4	<http://reliant.teknowledge.com/DAML/Transportation.owl#PontoonBridge>	TempateExpression{body=[<http://reliant.teknowledge.com/DAML/Transportation.owl#PersonalWatercraft>], head=[?]},TempateExpression{body=[?], head=[<http://reliant.teknowledge.com/DAML/Transportation.owl#PersonalWatercraft>]},TempateExpression{body=[?], head=[<http://reliant.teknowledge.com/DAML/Transportation.owl#PortableBridge>]},TempateExpression{body=[?], head=[owl:Nothing]},TempateExpression{body=[<http://reliant.teknowledge.com/DAML/Transportation.owl#PortableBridge>], head=[?]},TempateExpression{body=[<http://reliant.teknowledge.com/DAML/Transportation.owl#PersonalWatercraft>], head=[?]},TempateExpression{body=[?], head=[<http://reliant.teknowledge.com/DAML/Transportation.owl#PersonalWatercraft>]},TempateExpression{body=[?], head=[<http://reliant.teknowledge.com/DAML/Transportation.owl#PortableBridge>]},TempateExpression{body=[?], head=[owl:Nothing]},TempateExpression{body=[<http://reliant.teknowledge.com/DAML/Transportation.owl#PortableBridge>], head=[?]}
5	<http://reliant.teknowledge.com/DAML/Transportation.owl#HumanPoweredDevice>	TempateExpression{body=[?], head=[<http://reliant.teknowledge.com/DAML/SUMO.owl#Device>]},TempateExpression{body=[<http://reliant.teknowledge.com/DAML/Transportation.owl#Kayak>], head=[?]},TempateExpression{body=[<http://reliant.teknowledge.com/DAML/Transportation.owl#Canoe>], head=[?]},TempateExpression{body=[<http://reliant.teknowledge.com/DAML/Transportation.owl#Canoe>], head=[?, <http://reliant.teknowledge.com/DAML/Transportation.owl#Kayak>, <http://reliant.teknowledge.com/DAML/Transportation.owl#Canoe>]},TempateExpression{body=[<http://reliant.teknowledge.com/DAML/Transportation.owl#Kayak>], head=[?, <http://reliant.teknowledge.com/DAML/Transportation.owl#Kayak>, <http://reliant.teknowledge.com/DAML/Transportation.owl#Canoe>]},TempateExpression{body=[?, <http://reliant.teknowledge.com/DAML/Transportation.owl#Kayak>, <http://reliant.teknowledge.com/DAML/Transportation.owl#Canoe>], head=[<http://reliant.teknowledge.com/DAML/SUMO.owl#Device>, <http://reliant.teknowledge.com/DAML/Transportation.owl#Axle>, <http://reliant.teknowledge.com/DAML/Mid-level-ontology.owl#HoistingDevice>, <http://reliant.teknowledge.com/DAML/Transportation.owl#TransportationControlDevice>, <http://reliant.teknowledge.com/DAML/Mid-level-ontology.owl#UserPoweredDevice>, <http://reliant.teknowledge.com/DAML/Transportation.owl#CanalLockGate>, <http://reliant.teknowledge.com/DAML/Mid-level-ontology.owl#MaterialHandlingEquipment>, <http://reliant.teknowledge.com/DAML/Transportation.owl#VehicleWheel>, <http://reliant.teknowledge.com/DAML/Mid-level-ontology.owl#AnimalPoweredDevice>, <http://reliant.teknowledge.com/DAML/Transportation.owl#WindPoweredDevice>, <http://reliant.teknowledge.com/DAML/Transportation.owl#HumanPoweredDevice>, <http://reliant.teknowledge.com/DAML/Transportation.owl#Drawbridge>, <http://reliant.teknowledge.com/DAML/Mid-level-ontology.owl#Battery>]}
6	<http://reliant.teknowledge.com/DAML/Mid-level-ontology.owl#RailroadCompany>	TempateExpression{body=[<http://reliant.teknowledge.com/DAML/Transportation.owl#ClassIRailroad>], head=[?]},TempateExpression{body=[<http://reliant.teknowledge.com/DAML/Transportation.owl#ClassIIRailroad>], head=[?]},TempateExpression{body=[<http://reliant.teknowledge.com/DAML/Transportation.owl#ClassIRailroad>], head=[?, <http://reliant.teknowledge.com/DAML/Transportation.owl#ClassIRailroad>, <http://reliant.teknowledge.com/DAML/Transportation.owl#ClassIIRailroad>, <http://reliant.teknowledge.com/DAML/Transportation.owl#ClassIIIRailroad>]},TempateExpression{body=[<http://reliant.teknowledge.com/DAML/Transportation.owl#ClassIIRailroad>], head=[?, <http://reliant.teknowledge.com/DAML/Transportation.owl#ClassIRailroad>, <http://reliant.teknowledge.com/DAML/Transportation.owl#ClassIIRailroad>, <http://reliant.teknowledge.com/DAML/Transportation.owl#ClassIIIRailroad>]}
7	<http://reliant.teknowledge.com/DAML/Transportation.owl#RailwayVehicle>	TempateExpression{body=[<http://reliant.teknowledge.com/DAML/Transportation.owl#RollingStock>], head=[?]},TempateExpression{body=[?], head=[<http://reliant.teknowledge.com/DAML/Mid-level-ontology.owl#LandVehicle>]},TempateExpression{body=[<http://reliant.teknowledge.com/DAML/Transportation.owl#RollingStock>, <http://reliant.teknowledge.com/DAML/Transportation.owl#Locomotive>, <http://reliant.teknowledge.com/DAML/Transportation.owl#ElectrifiedRailwayCar>, <http://reliant.teknowledge.com/DAML/Transportation.owl#MotorizedRailwayCar>, <http://reliant.teknowledge.com/DAML/Transportation.owl#PassengerRailwayCar>, <http://reliant.teknowledge.com/DAML/Transportation.owl#Railcar>], head=[?, <http://reliant.teknowledge.com/DAML/Mid-level-ontology.owl#Train>, <http://reliant.teknowledge.com/DAML/Transportation.owl#RollingStock>]},TempateExpression{body=[?, <http://reliant.teknowledge.com/DAML/Mid-level-ontology.owl#Train>, <http://reliant.teknowledge.com/DAML/Transportation.owl#RollingStock>], head=[<http://reliant.teknowledge.com/DAML/Mid-level-ontology.owl#LandVehicle>, <http://reliant.teknowledge.com/DAML/Transportation.owl#RailwayVehicle>, <http://reliant.teknowledge.com/DAML/Mid-level-ontology.owl#RoadVehicle>, <http://reliant.teknowledge.com/DAML/Transportation.owl#Cycle-TransportationDevice>]}
8	<http://reliant.teknowledge.com/DAML/SUMO.owl#BodyMotion>	TempateExpression{body=[<http://reliant.teknowledge.com/DAML/Transportation.owl#DirectingTraffic>], head=[?]},TempateExpression{body=[<http://reliant.teknowledge.com/DAML/Transportation.owl#DirectingTraffic>], head=[?, <http://reliant.teknowledge.com/DAML/Transportation.owl#DirectingTraffic>]}
9	<http://reliant.teknowledge.com/DAML/Transportation.owl#Pier>	TempateExpression{body=[?], head=[<http://reliant.teknowledge.com/DAML/SUMO.owl#StationaryArtifact>]},TempateExpression{body=[?], head=[<http://reliant.teknowledge.com/DAML/SUMO.owl#StationaryArtifact>, <http://reliant.teknowledge.com/DAML/Transportation.owl#Pier>, <http://reliant.teknowledge.com/DAML/Transportation.owl#CanalLock>, <http://reliant.teknowledge.com/DAML/Mid-level-ontology.owl#Bridge>, <http://reliant.teknowledge.com/DAML/Mid-level-ontology.owl#TransitTerminal>, <http://reliant.teknowledge.com/DAML/Transportation.owl#FixedBridge>, <http://reliant.teknowledge.com/DAML/Mid-level-ontology.owl#Railway>, <http://reliant.teknowledge.com/DAML/Transportation.owl#Bulkhead>, <http://reliant.teknowledge.com/DAML/Mid-level-ontology.owl#RailroadTrack>, <http://reliant.teknowledge.com/DAML/Mid-level-ontology.owl#Tunnel>, <http://reliant.teknowledge.com/DAML/Transportation.owl#CanalStructure>]}
10	<http://reliant.teknowledge.com/DAML/Mid-level-ontology.owl#SelfPoweredDevice>	TempateExpression{body=[<http://reliant.teknowledge.com/DAML/Transportation.owl#SelfPoweredVehicle>], head=[?]},TempateExpression{body=[<http://reliant.teknowledge.com/DAML/Transportation.owl#SelfPoweredVehicle>], head=[?, <http://reliant.teknowledge.com/DAML/Transportation.owl#SelfPoweredVehicle>]}
